host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782729572.869685,19:39:32.869,14188,144.865,29.68,1010.86,-0.203,-0.128,-0.404,0.0,228.06,-0.75,-2.5,243,2,1,30.0
1782729572.869821,19:39:32.869,14189,144.872,29.68,1010.86,-0.203,-0.131,-0.404,0.0,228.06,-0.75,-2.5,243,2,1,30.0
1782729572.869842,19:39:32.869,14190,144.882,29.68,1010.86,-0.203,-0.135,-0.404,0.0,228.06,-0.75,-2.5,243,2,1,30.0
1782729572.869855,19:39:32.869,14191,144.892,29.68,1010.86,-0.203,-0.139,-0.404,0.0,228.06,-0.75,-2.5,243,2,1,30.0
1782729572.869866,19:39:32.869,14192,144.902,29.68,1010.86,-0.203,-0.143,-0.404,0.0,228.06,-0.75,-2.5,243,2,1,30.0
1782729572.869877,19:39:32.869,14193,144.912,29.68,1010.86,-0.203,-0.158,-0.303,0.0,228.06,-0.75,-2.5,243,2,1,30.0
1782729572.870668,19:39:32.870,14194,144.922,29.68,1010.86,-0.203,-0.161,-0.303,0.0,228.31,-0.75,-2.5,243,2,1,30.0
1782729572.870686,19:39:32.870,14195,144.935,29.68,1010.86,-0.203,-0.165,-0.303,0.0,228.31,-0.75,-2.5,243,2,1,30.0
1782729572.870697,19:39:32.870,14196,144.942,29.68,1010.86,-0.203,-0.167,-0.303,0.0,228.31,-0.75,-2.5,243,2,1,30.0
1782729572.870710,19:39:32.870,14197,144.952,29.68,1010.86,-0.203,-0.17,-0.303,0.0,228.31,-0.75,-2.5,243,2,1,30.0
1782729572.870721,19:39:32.870,14198,144.962,29.68,1010.86,-0.203,-0.179,-0.227,0.0,228.31,-0.75,-2.5,243,2,1,30.0
1782729572.870732,19:39:32.870,14199,144.972,29.68,1010.86,-0.203,-0.181,-0.227,0.0,228.56,-0.75,-2.69,243,2,1,30.0
1782729572.987360,19:39:32.987,14200,144.982,29.68,1010.86,-0.203,-0.184,-0.227,0.0,228.56,-0.75,-2.69,243,2,1,30.0
1782729572.987504,19:39:32.987,14201,144.992,29.68,1010.86,-0.203,-0.186,-0.227,0.0,228.81,-0.75,-2.69,243,2,1,30.0
1782729572.987524,19:39:32.987,14202,145.002,29.68,1010.86,-0.203,-0.191,-0.171,0.0,228.94,-0.75,-2.69,243,2,1,30.0
1782729572.987537,19:39:32.987,14203,145.012,29.68,1010.86,-0.203,-0.193,-0.171,0.0,228.94,-0.75,-2.69,243,2,1,30.0
1782729572.987549,19:39:32.987,14204,145.022,29.68,1010.86,-0.203,-0.195,-0.171,0.0,228.94,-0.75,-2.69,243,2,1,30.0
1782729572.987560,19:39:32.987,14205,145.032,29.68,1010.86,-0.203,-0.196,-0.171,0.0,229.06,-0.75,-2.69,243,2,1,30.0
1782729572.987985,19:39:32.987,14206,145.042,29.68,1010.86,-0.203,-0.198,-0.171,0.0,229.06,-0.75,-2.69,243,2,1,30.0
1782729572.988000,19:39:32.987,14207,145.052,29.68,1010.86,-0.203,-0.2,-0.128,0.0,229.06,-0.75,-2.69,243,2,1,30.0
