host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,speed_m_s,az_m_s2,lax_m_s2,lay_m_s2,laz_m_s2,gx_m_s2,gy_m_s2,gz_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg,rudder_deg,throttle
1783505261.693502,19:07:41.693,80536,816.541,23.76,1013.22,-1.459,-1.508,-0.06,0.063,-0.14,-0.03,0.03,-0.14,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.693564,19:07:41.693,80537,816.551,23.76,1013.22,-1.459,-1.509,-0.062,0.064,-0.12,-0.02,0.02,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.693578,19:07:41.693,80538,816.561,23.76,1013.22,-1.459,-1.51,-0.062,0.064,-0.029,-0.02,0.0,-0.03,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.693588,19:07:41.693,80539,816.571,23.76,1013.22,-1.459,-1.505,-0.058,0.06,-0.029,-0.02,0.0,-0.03,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.693938,19:07:41.693,80540,816.581,23.76,1013.22,-1.459,-1.506,-0.06,0.062,-0.099,-0.02,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.693952,19:07:41.693,80541,816.591,23.76,1013.22,-1.459,-1.506,-0.061,0.063,-0.101,0.0,0.03,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.693960,19:07:41.693,80542,816.601,23.76,1013.22,-1.459,-1.506,-0.061,0.063,-0.101,0.0,0.03,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.693969,19:07:41.693,80543,816.615,23.76,1013.22,-1.459,-1.503,-0.058,0.061,-0.089,-0.02,0.0,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.795369,19:07:41.795,80544,816.621,23.76,1013.22,-1.459,-1.503,-0.059,0.062,-0.12,0.0,0.01,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.795402,19:07:41.795,80545,816.631,23.76,1013.22,-1.459,-1.503,-0.059,0.062,-0.12,0.0,0.01,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.795412,19:07:41.795,80546,816.641,23.76,1013.22,-1.459,-1.504,-0.061,0.064,-0.08,0.0,0.01,-0.08,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.795421,19:07:41.795,80547,816.651,23.76,1013.22,-1.459,-1.505,-0.062,0.064,-0.05,0.0,0.0,-0.05,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.795796,19:07:41.795,80548,816.661,23.76,1013.22,-1.459,-1.501,-0.058,0.061,-0.06,0.0,0.01,-0.06,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.795807,19:07:41.795,80549,816.671,23.76,1013.22,-1.459,-1.501,-0.058,0.061,-0.06,0.0,0.01,-0.06,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.795815,19:07:41.795,80550,816.681,23.76,1013.22,-1.459,-1.502,-0.061,0.063,-0.1,0.0,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.795823,19:07:41.795,80551,816.691,23.76,1013.22,-1.459,-1.502,-0.061,0.063,-0.1,0.0,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.796072,19:07:41.796,80552,816.701,23.76,1013.22,-1.459,-1.503,-0.063,0.065,-0.089,-0.04,0.02,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.796083,19:07:41.796,80553,816.711,23.76,1013.22,-1.459,-1.5,-0.059,0.062,-0.089,-0.04,0.02,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.796093,19:07:41.796,80554,816.721,23.76,1013.22,-1.459,-1.5,-0.059,0.062,-0.089,-0.04,0.02,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.796103,19:07:41.796,80555,816.731,23.76,1013.22,-1.459,-1.501,-0.061,0.063,-0.129,-0.02,0.01,-0.13,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.897437,19:07:41.897,80556,816.741,23.76,1013.22,-1.459,-1.501,-0.062,0.064,-0.099,-0.02,0.01,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.897465,19:07:41.897,80557,816.751,23.76,1013.22,-1.459,-1.498,-0.058,0.061,-0.1,-0.03,0.02,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.897474,19:07:41.897,80558,816.761,23.76,1013.22,-1.459,-1.498,-0.059,0.062,-0.1,-0.03,0.02,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.897483,19:07:41.897,80559,816.771,23.76,1013.22,-1.459,-1.498,-0.059,0.062,-0.1,-0.03,0.02,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.897850,19:07:41.897,80560,816.781,23.76,1013.22,-1.459,-1.499,-0.061,0.064,-0.109,-0.02,0.0,-0.11,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.897862,19:07:41.897,80561,816.791,23.76,1013.22,-1.459,-1.5,-0.062,0.065,-0.098,-0.03,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.897872,19:07:41.897,80562,816.801,23.76,1013.22,-1.459,-1.501,-0.063,0.066,-0.09,0.0,0.0,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.897881,19:07:41.897,80563,816.811,23.76,1013.22,-1.459,-1.497,-0.06,0.062,-0.09,0.0,0.0,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.898129,19:07:41.898,80564,816.821,23.76,1013.22,-1.459,-1.498,-0.061,0.063,-0.12,0.0,0.0,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.898139,19:07:41.898,80565,816.831,23.76,1013.22,-1.459,-1.498,-0.062,0.064,-0.089,-0.02,0.0,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.898147,19:07:41.898,80566,816.841,23.76,1013.22,-1.459,-1.499,-0.063,0.066,-0.131,0.0,0.02,-0.13,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.898155,19:07:41.898,80567,816.851,23.76,1013.22,-1.459,-1.495,-0.059,0.062,-0.049,-0.04,0.02,-0.05,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.999335,19:07:41.999,80568,816.861,23.76,1013.22,-1.459,-1.496,-0.06,0.062,-0.049,-0.04,0.02,-0.05,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.999379,19:07:41.999,80569,816.871,23.76,1013.22,-1.459,-1.496,-0.06,0.062,-0.049,-0.04,0.02,-0.05,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.999392,19:07:41.999,80570,816.881,23.76,1013.22,-1.459,-1.497,-0.062,0.065,-0.128,-0.04,0.0,-0.13,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.999401,19:07:41.999,80571,816.891,23.76,1013.22,-1.459,-1.498,-0.063,0.066,-0.1,0.0,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.999879,19:07:41.999,80572,816.913,23.76,1013.22,-1.459,-1.495,-0.061,0.064,-0.11,0.0,0.0,-0.11,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.999896,19:07:41.999,80573,816.914,23.76,1013.22,-1.459,-1.495,-0.061,0.064,-0.11,0.0,0.0,-0.11,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.999906,19:07:41.999,80574,816.924,23.76,1013.22,-1.459,-1.496,-0.062,0.065,-0.121,0.0,0.02,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505261.999914,19:07:41.999,80575,816.934,23.76,1013.22,-1.459,-1.497,-0.063,0.066,-0.091,-0.02,0.03,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.101308,19:07:42.101,80576,816.944,23.76,1013.22,-1.459,-1.497,-0.063,0.066,-0.091,-0.02,0.03,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.101357,19:07:42.101,80577,816.954,23.76,1013.22,-1.459,-1.494,-0.061,0.064,-0.099,-0.02,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.101373,19:07:42.101,80578,816.964,23.76,1013.22,-1.459,-1.495,-0.062,0.065,-0.07,-0.02,0.02,-0.07,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.101383,19:07:42.101,80579,816.974,23.76,1013.22,-1.459,-1.495,-0.062,0.065,-0.07,-0.02,0.02,-0.07,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.101813,19:07:42.101,80580,816.984,23.76,1013.22,-1.459,-1.496,-0.064,0.067,-0.099,-0.02,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.101827,19:07:42.101,80581,816.994,23.76,1013.22,-1.459,-1.492,-0.059,0.062,-0.099,-0.02,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.101836,19:07:42.101,80582,817.007,23.76,1013.22,-1.459,-1.494,-0.062,0.065,-0.109,-0.02,0.01,-0.11,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.101844,19:07:42.101,80583,817.014,23.76,1013.22,-1.459,-1.494,-0.063,0.065,-0.069,-0.02,0.0,-0.07,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.102110,19:07:42.102,80584,817.024,23.76,1013.22,-1.459,-1.495,-0.064,0.066,-0.1,-0.02,0.02,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.102121,19:07:42.102,80585,817.034,23.76,1013.22,-1.459,-1.495,-0.064,0.066,-0.1,-0.02,0.02,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.102178,19:07:42.102,80586,817.044,23.76,1013.22,-1.459,-1.492,-0.061,0.064,-0.119,-0.02,0.0,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.102187,19:07:42.102,80587,817.054,23.76,1013.22,-1.459,-1.493,-0.062,0.065,-0.109,-0.02,0.0,-0.11,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.202559,19:07:42.202,80588,817.064,23.76,1013.22,-1.459,-1.493,-0.063,0.066,-0.111,0.0,0.03,-0.11,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.202595,19:07:42.202,80589,817.074,23.76,1013.22,-1.459,-1.494,-0.064,0.067,-0.099,-0.02,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.202607,19:07:42.202,80590,817.084,23.76,1013.22,-1.459,-1.491,-0.061,0.064,-0.11,0.0,0.0,-0.11,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.202616,19:07:42.202,80591,817.094,23.76,1013.22,-1.459,-1.491,-0.061,0.064,-0.11,0.0,0.0,-0.11,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.202983,19:07:42.202,80592,817.104,23.76,1013.22,-1.459,-1.492,-0.063,0.066,-0.12,0.0,0.0,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.202995,19:07:42.202,80593,817.114,23.76,1013.22,-1.459,-1.493,-0.064,0.067,-0.071,0.0,0.02,-0.07,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.203005,19:07:42.203,80594,817.124,23.76,1013.22,-1.459,-1.494,-0.065,0.067,-0.08,-0.02,0.02,-0.08,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.203013,19:07:42.203,80595,817.134,23.76,1013.22,-1.459,-1.491,-0.061,0.064,-0.098,-0.03,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.304364,19:07:42.304,80596,817.144,23.76,1013.22,-1.459,-1.491,-0.061,0.064,-0.098,-0.03,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.304394,19:07:42.304,80597,817.154,23.76,1013.22,-1.459,-1.492,-0.063,0.066,-0.09,0.0,0.01,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.304405,19:07:42.304,80598,817.164,23.76,1013.22,-1.459,-1.493,-0.064,0.066,-0.089,-0.03,0.01,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.304414,19:07:42.304,80599,817.174,23.76,1013.22,-1.459,-1.49,-0.06,0.063,-0.071,0.0,0.03,-0.07,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.304786,19:07:42.304,80600,817.184,23.76,1013.22,-1.459,-1.49,-0.061,0.063,-0.069,-0.02,0.0,-0.07,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.304797,19:07:42.304,80601,817.194,23.76,1013.22,-1.459,-1.49,-0.061,0.063,-0.069,-0.02,0.0,-0.07,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.304805,19:07:42.304,80602,817.204,23.76,1013.22,-1.459,-1.492,-0.062,0.065,-0.091,-0.02,0.03,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.304813,19:07:42.304,80603,817.214,23.76,1013.22,-1.459,-1.492,-0.064,0.066,-0.12,0.0,0.01,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.305063,19:07:42.305,80604,817.224,23.75,1013.21,-1.372,-1.481,0.062,0.065,-0.081,-0.02,0.03,-0.08,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.305073,19:07:42.305,80605,817.234,23.75,1013.21,-1.372,-1.48,0.061,0.064,-0.079,-0.03,0.01,-0.08,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.305081,19:07:42.305,80606,817.244,23.75,1013.21,-1.372,-1.479,0.06,0.063,-0.128,-0.04,0.01,-0.13,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.305089,19:07:42.305,80607,817.254,23.75,1013.21,-1.372,-1.479,0.06,0.063,-0.128,-0.04,0.01,-0.13,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.406038,19:07:42.406,80608,817.264,23.75,1013.21,-1.372,-1.478,0.058,0.061,-0.098,-0.03,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.406068,19:07:42.406,80609,817.274,23.76,1013.22,-1.459,-1.476,-0.069,0.072,-0.099,-0.02,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.406077,19:07:42.406,80610,817.284,23.76,1013.22,-1.459,-1.477,-0.07,0.073,-0.088,-0.03,0.0,-0.09,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.406085,19:07:42.406,80611,817.294,23.76,1013.22,-1.459,-1.477,-0.071,0.074,-0.12,0.0,0.01,-0.12,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.406447,19:07:42.406,80612,817.304,23.76,1013.22,-1.459,-1.478,-0.072,0.075,-0.081,0.0,0.02,-0.08,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.406458,19:07:42.406,80613,817.314,23.76,1013.22,-1.459,-1.479,-0.073,0.076,-0.1,0.0,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
1783505262.406466,19:07:42.406,80614,817.324,23.76,1013.22,-1.459,-1.477,-0.068,0.071,-0.1,0.0,0.0,-0.1,-0.44,-0.54,9.78,107.88,-2.63,-3.19,255,0,0,0.0,0.0,0.0
